response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
1,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,I think it's natural in flow and useful.,That's pretty useful in helping me understand key topics I've looked at.,This saves me time rather than going in Canvas!,"I like this, it's like a calendar that speaks to me.",Add ability to add reminders from the tasks?
2,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not very useful,Not very useful,Not very useful,Not very useful,Not very useful,Not at all useful,Not very useful,Somewhat useful,Somewhat useful,Interesting,Not as Interesting,Useful,Interesting,
3,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not very useful,Very useful,Very useful,Very useful,Somewhat useful,Not very useful,Very useful,It seemed useful. In the beginning I did not understand that earlier reviews were worth more points.,I find this less useful. I already have good ways to track the things I'm interested in.,"The delivery of grading is useful, although the Canvas app does some things like this already. However, the forced self reflection was excellent - just the prompt got me thinking about how I had performed this semseter.","Again, the self reflection on the work performed is very useful - I thought it might be hokey or awkward but just asking to think about your own goals, planning and performance is actually very powerful.",
4,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,"Awesome, detailed",Nice,Great,Very nice,"Keep up the good work, best of luck "
5,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful. It is like a calendar that reminds what needs to be done to score. Everybody wants to be reminded!!,"Again very useful, reminder what to read is very useful. It organizes and helps to plan","Good to know the feedback, and gives the extra motivation on what i did right and what to focus on",I like to read assignment feed back and the extra motivation,"Overall very Good,"
6,Somewhat useful,Somewhat useful,Not very useful,Somewhat useful,Somewhat useful,Very useful,Not very useful,Not at all useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Not very useful,"The shared video at the end was unnecessary. I'm fond of the overall conversation flow but personally I wouldn't use a bot like this if it only works for one particular class. If I could manage all of my assigned coursework easily enough for a bot like GritBot to be able to plug into it, I'd probably just set up cron reminders for myself and skip the whole ""bot interaction"" thing. That being said, I'm sure a lot of other people would appreciate a bot like this working for them.","This seems a bit ambitious for a 6-week chatbot project. I'd also deem it somewhat unnecessary - I can search Google Scholar myself for 10 to 20 papers faster than the one paper that GritBot found and the user agreed to open. Also, displaying the whole abstract in a chat interface is a bit overboard. I would just link the user to the 10 top results and leave it at that. Conversations should be short and to-the-point.","Why did you score a 9/10 if the feedback said ""I have given you 10/10 on your assignment""? Nice move to allow GritBot to generate posts to Friday Reflections - it's a good way to help get those pesky participation points out of the way. A bit ambitious to poke into the Piazza API and grab feedback and specific threads, though.",I'm pretty much fine with this one.,"I think GritBot's conversations are a bit wordy. I'm not inclined to read large chunks of info in an instant chat format, regardless of content. I might just not be a good use case for a system like GritBot since I do my own time and effort management."
7,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Somewhat useful,Very useful,Seemed quite long for a robot. Especially the part where it explains the grading info for the survey. Can you imagine having to learn about how the grading works every week for the past 7 weeks? That's gotta be annoying.,"Yikes! This one is a terrible idea! Having to get 10 messages every time you're interested in something stinks. And then getting the abstract in individual messages like that? Why would anyone think that would be helpful? If nothing else, it's just a glorified Let Me Google That For You bot. Anyone could find information faster just by googling it themselves rather than answering 1 - 10 a bunch of times.","Besides the obvious of saying they scored 9 out of 10 and then later the mentor saying they were given 10/10, I liked the robot in this conversation. A little less useful if the instructor isn't one to leave comments but perfect here.","lol, I liked that Carlos worked at a level 3 effort on this class. ;P",Make the survey shorter next time. After watching all the videos and going back and forth between this page and the demos I eventually was logged out of the survey group and had to retake your whole thing!
8,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,great way of organizing my attack on an assignment,I like the conversation!,the video mock actually wrote how i felt. great job!,Nice... I am liking where this project is going!,When do i sign up.
9,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,"i think the bot is sending too much of the test, it can send at only 1 time with just a single paragraph",same as above,"this is more interactive, i like it",same as above,
10,Very useful,Very useful,Not very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not very useful,Somewhat useful,"Some of the necessary seems superfluous for week 7. For example, the messages ""The fastest you provide feedback to your peers, the better..."" and ""Thus if you provide all peer reviews..."" and ""In contrast..."" are long and probably already known by the user by Week 7. It makes the bot feel 'spammy'. Otherwise, I love the concept, especially the scheduling. ","""Pick a topic"" should accept the topics themselves, not just the 1-10 index.  Also sending the top 10 articles as 10 separate messages (and no links until you get to the end of the workflow? -- takes too long) seems very spammy. Maybe top 3 at most would be interesting. Also, if this is use case is done weekly, how often does the content change? E.g, there are not new 'intelligent tutoring systems' articles in google scholar every week, so this content becomes less useful week after week? ",This conversation seems great and very helpful. ,This conversation also seems very helpful for reflection and growth. ,"Interesting project, good luck! "
11,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not very useful,Very useful,Somewhat useful,Not very useful,Very useful,Very intuituive flow and informative. Awesome work.,"Very good, however, the lengthy chat might get overwhelming sometimes. But that is a personal opinion",I think it is great to have a personalized experience and also remind and also mentoring,Feels like having a TA giving personal attention to students. Great work,
12,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very good! I think perhaps shorter sentences. One end statements would be better.,Very good! Rather than printing the abstract and waiting to give the link out. It would be better if the links were given from the beginning and the user can read that on his own. The chat history gets filled up otherwise which I don't like. ,This one was perfect.,Good as well,
13,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,I loved the concept of the app.,I love that it recommended topics of study to the student.,I love how the app gives you detailed feedba ck. I often feel my feedback is not helpful in Piazza.,This was another very helpful feature.,
14,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Reminders are great,Useful but it will take some time to implement this.,Yes. I get similar notifications from Canvas and its useful,Posting to piazza is useful. ,
15,Somewhat useful,Very useful,Not very useful,Very useful,Very useful,Very useful,Not very useful,Not very useful,Not very useful,Very useful,Not very useful,Not very useful,Somewhat useful,"I like the interactive buttons, but feel the bot is a bit wordy.",This video demonstrated even more wordiness from the bot. Is there a way to interrupt it in case you do not want it to continue?,"Really like the idea of getting feedback from mentors directly as chat messages. Instead of me needing to go through a variety of interfaces to find it, getting that content directly is very nice.","I don't care about scoring myself, so I don't think I would use that functionality in a chat conversation, either.",
16,Somewhat useful,Very useful,Not very useful,Very useful,Very useful,Very useful,Not very useful,Somewhat useful,Somewhat useful,Very useful,Not very useful,Somewhat useful,Somewhat useful,"It is useful, but I think the converstation is too long.  I would suggest a shorter interaction",It is a lot of chatting from the GritBot.  I would quickly lose interest in all of the text that is being dislayed.,The interaction was good.  I'm wonder how you are getting information from piazza and canvas. Does the user has to re-log in every couple of days?,Interation was at a apporiate length.,great work
17,Not very useful,Not very useful,Not very useful,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Not very useful,Somewhat useful,Somewhat useful,Somewhat useful,Not very useful,Not very useful,I thought it gave useful information but I wonder if its faster for me to just look up this information from the syllabus.,I thought it gave useful information but I wonder if its faster for me to just look up this information from the syllabus.,I thought it gave useful information but I wonder if its faster for me to just look up this information from the syllabus.,I thought it gave useful information but I wonder if its faster for me to just look up this information from other places.,
18,Not very useful,Not very useful,Not very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not very useful,Not very useful,"Cool video mockup! I particularly like the help with planning the week. One suggestion is to remove the ""Should I remind you?"" and just assume they want to be reminded. Less is more!","My feedback here is similar to the last one. Instead of asking ""Do you want some articles"" and ""Which topic?"" just spit out some recomendations, maybe 2 articles for the top 3 interests. You really want to slim down these interactions or the bot will be too cumbersome to use.",This one seems very valuable! Reflection is important.,I like how the bot pushes you to raise the bar. Definitely a good idea.,"In general, just try to achieve the goal of any given interaction with a little back-and-forth as possible. Personally, I'm not a fan of reading a lot text nor writing a lot of text. Also, can you choose a tech stack that is platform-independent? Maybe a web app or some boilerplate chat app that lets you implement the AI? I would definitely like the ability to use the bot on desktop as well as mobile. Overall, best mockups I've seen so far, good work! Please check out mine if you've get chance https://docs.google.com/presentation/d/1xn81WCWKxe-fCwP8JucB3jQTrMRyXnaquMQLrA0rPXc/edit?usp=sharing"
19,Somewhat useful,Very useful,Somewhat useful,Very useful,Not very useful,Not very useful,Not at all useful,Not at all useful,Very useful,Somewhat useful,Not at all useful,Not at all useful,Not very useful,"I like the initial forward looking ""what to expect this week"" messages. It might be nice to opt-in to the planning section though, in this case it looks like the user already had time planned for assignments (Saturday and Sunday) so the bot didn't really help with that.","My initial thought was that this seems like the posts on Piazza where someone shares an interesting article. Generally, I regard those as noise. I appreciate that some folks don't feel the same though. After thinking about it more, if the articles the bot suggests are well curated, it could be a nice benefit during the written assignment phase of the course.","Good flow. Just my two cents, it would be nice to see the grade in the first message (I'll never answer ""No"" to the first prompt). That's the information I'm most interested in. Realistically, I probably wouldn't engage with the reflection portion, but I like the idea.","I like this flow, I think it's a nice idea to integrate posting on Piazza. That links a tangible, graded item to the bot interaction. ","Most OMSCS students are busy. Getting to the point of what we're interested in (grades, deliverables, etc.) and offering but not requiring the optional engagements would be most useful to me personally. Great job!! This looks promising."
20,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,it is very useful,I like the flow. Would add feature for users to ask questions too.,I would show the score automatically and then ask question to review instructor comments if there is any.,It is very helpful. I would also list the last weeks completed atasks,
21,Somewhat useful,Very useful,Not very useful,Not very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not very useful,Not very useful,Somewhat useful,"Well, first I thought ya'll made awesome progress! That's definitely much more detailed conversation than I was expecting. My only critique would be that it seemed a little long...I personally would have cut off the conversation after a minute or two. Some of the information was useful, but I'm not sure how much time I would devote to it. ","I'd say the same comment again, the conversation is interesting, but a little too detailed for my taste","I'm not sure how necessary all the ""great work"" comments are from the robot - I think one or two are fine, but too many seem to almost have a negative effect when I'm reading it. Maybe it's just me - I liked that it would give the mentor's feedback to you without you having to go into piazza, but the mentor's comments are feedback enough, I wouldn't necessarily want more feedback from the chat","similiar comment to the one above - I like the useful information from the chat, but get a weird vibe from having a robot tell me I'm doing well or should try harder - I wouldn't really want that. But I do find the reminders and updates on grades very useful and engaging!",Nope - great work! Looks like had a hugely productive few weeks :) 
22,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,It's fine. But there are too many chat bubbles - maybe condense them into one chat bubble. Receiving a lot of notifications/beeps is a bit annoying.,Same thing,Same thing,Same thing,"GritBot is a great idea - this can help me personally. Would be nice if you could add a scheduler after saying ""Saturday and Sunday"" - ""Carlos, here is your suggested study schedule"". Also, please condense the chats if you can. Best of luck!"
23,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Good,Good,Good,Good,Very interesting concept!
24,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,"Looks good, I like the idea how it kind of behaves like a mentor and a reminder at the same time","Sounds helpful, especially because I forget these things",This looks really helpful for someone who is taking multiple classes and then needs a quick update on a particular class,Pretty much same as above responses,
25,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,I would be glad if I have this bot. ,The bot is smart :-),I like your bot very much. ,It is amazing. ,
26,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Nice thought about the execution flow. Minor comments: on the footer: typo on technology. Other language improvements can also be done on the conversation. I'm guessing you are not a native English speaker. So not a big deal.,Responding Great or fantastic for each option selection was odd.  Nice conversation.,Fantastic!,Great!,
27,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,really cool,really cool,really cool,really cool,really cool
28,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Brilliant! love the chat bot interactive prototype!,I like it too! one suggestion is to provide the error path in the conversational flow. How would the bot react to unexpected input?,"Great, try to include error path to see how the bot will behave",Great,
29,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,"This looks great. I'm assuming you'll have the bot be platform independent so it's accessible on Facebook and Slack, etc? Have you considered integrating with Twilio for scheduled text message reminders as well?",I like the idea of a google scholar integration and links to articles within the bot. Have you considered asking for notes on the reading and sending that to Google Docs or some other note taking app? Could be useful but also might be outside the scope of what you're considering.,"You might want to add a confirmation after the user says ok to post to Piazza. ""Here's what I'm going to post: xxx. Is that ok?"" Yes - No",Looks great,"I think this bot will be very useful for people in the program, good work!"
30,Somewhat useful,Somewhat useful,Not very useful,Somewhat useful,Somewhat useful,Not very useful,Not very useful,Somewhat useful,Not very useful,Somewhat useful,Not very useful,Not very useful,Not very useful,"It's a little long, I feel like I wouldn't want to read all of it.  But the intent is good.",I love the idea that a bot could help look up articles,"Might want to consider rephrasing the question from ""what could you do better next time"" to ""what would you differently next time"".  Emphasizes that you are learning rather than just fixing mistakes.","The end seems a little judgemental to me.  I'd prefer ""softer"" phrasing as leading questions or suggestions.",
31,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,I really liked the flow.  Some of the conversations seemed a bit long but not too overwhelming.,"I would suggest maybe narrowing to top 5 and perhaps asking if you want to see more, 10 seems a little overhwelming to look at on the screen","I like the conversation, but the score returned by chat bot and score from mentor differ, not sure if this generated via an algorithm or just as an example so I thought it was worth mentioning","It might be beneficial to ask why the assignment wasn't so difficult, may highlight a skill that needs less practice","  Is there a voice to text option?  How are the reminders generated, inside the app? calendar appt? I wouldn't suggest providing notification after each feedback submission but rather after all is complete.  The reason I say this is because  the peer feedback can be very different from one to the other and changing course may be more problematic if you were given bad feedback.  I find comparing at the feedback at the end is more useful then digesting individually."
32,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,So so,Can be improved,So so,So so,
33,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Great idea,I love it,I wish I thought of that!,Love it,I think you should have the free text more drop down selection. Easier to get the data out.
34,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,"Some grammar errors, but, overall - this would be so, so useful to me.",Interesting articles - great feature. Would it be able to find scholarly articles?,"For the reviewing grade feedback - how do you account for instructors not using the feedback feature built into Canvas? Also, the grade is given both as 9/10 and 10/10.",I don't know if the student would necessarily respond at this length.,"Clean up the grammar - other than that - seriously, I love this idea. This would be so useful for me. I have a pretty hectic life and forget things easily, so having this kind of interactive reminder - so cool."
35,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,can't open it ,can't open it ,can't open it ,can't open it ,N/A
36,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Looks great. Planing and reminders must be very helpful.,"I like the interesting articles feature. Might be useful to offer new articles/papers, e.g. added in the last week.","Seems to be a bit redundant to me, as I use Canvas mobile app that notifies me about the grades, while still somewhat useful as it motivates to reflect on the past work.",For me it's not clear how to estimate the effort on the 1 to 10 scale. How much is 1 and how much is 10? I recommend to use hours of work and compare it to the recommended 15 hours/week by the instructors of this class.,
37,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not very useful,Somewhat useful,This is a really clever idea. Would love to have this for all my classes,"Great information, maybe less of a delay between messages from the bot",Great mockup,Are you going to integrate with canvas?,
38,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,I found that pretty interesting and helpful to start my week,it is interesting that it determines my most interesting points of interest,I like that it tells me that an assignment is graded.,It is cool that it tells me that it I am done for the week,
